lasso	{'rmse': 0.8405308153890633, 'mae': 0.6268052601587816}
leastic	{'rmse': 0.9218818675350202, 'mae': 0.7531008335284783}
rf	{'rmse': 0.8481952576469978, 'mae': 0.6165318142592829}
gradientBoost	{'rmse': 0.8492316494038182, 'mae': 0.6173162680177438}
